crop,season,state,area,production,fertilizer,pesticide,avg_temp_c,total_rainfall_mm,avg_humidity_percent,N,P,K,pH
32,2,10,-0.23964104946144577,-0.06301920918840616,-0.2503183770760116,-0.22382704624515637,-3.2666993814304037,-0.9500177994887609,-0.7355297037748809,-0.33165536902496967,-0.7372695132174897,1.237351835228976,0.08526747734536481
4,2,9,-0.21296107859164815,-0.06288343515018108,-0.21447536707161882,-0.18984659549264898,-0.8430090057928511,-0.22693362208767148,-0.5156668516930121,-0.8320053252064071,-1.1709979571182854,0.9842361413298533,-0.9313129994785688
11,4,24,-0.08884316368811906,-0.06229733413350638,-0.08183754945347302,-0.17735972531515706,0.8244002063355762,0.1510159097091551,0.7459271328719954,0.1686945871564678,0.390424440924579,-0.28134232816576005,-0.05995830505805502
0,4,13,-0.11130419106743311,-0.06260679824183783,-0.15550723885669882,-0.11365714836768966,0.6875065832671591,0.2978827277288922,1.2449809082324272,-0.5818303471156884,-0.47703244687701235,2.249814610825467,-1.3669903466888258
51,4,7,-0.09348017691492126,-0.06231185770592142,-0.14175530430724692,-0.06818947092793837,0.6269143238762204,-0.5116356380741461,-1.1804902377500914,-0.08148039093425095,0.390424440924579,-0.5344580220648827,1.682751083782974
4,2,19,-0.23195753437061825,-0.06298125851243482,-0.24445960352368704,-0.21751775634082346,-1.1975859311176045,-0.8742789506232582,0.45277666342950396,-1.0321453076789822,-1.517980712238922,0.478004753531608,-1.2217645642854071
11,1,17,-0.23021271966667647,-0.06298944606571517,-0.24287301118711752,-0.21541629022417585,-1.3771185515352005,1.7339420060506965,1.18041800722426,-1.232285290151557,-1.517980712238922,0.09833121268292395,-1.5122161290922456
15,4,13,-0.23307722271804573,-0.06294092509293714,-0.24244557998223606,-0.21587432994221667,0.7368780538819978,-0.28357930926218433,1.2362561918799726,-0.5818303471156884,-0.47703244687701235,2.249814610825467,-1.3669903466888258
0,4,13,-0.13180411529877933,-0.06269895922004107,-0.1609927728677876,-0.12383511428865196,0.5034856473391226,0.6750875469950328,1.4988701540888718,-0.5818303471156884,-0.47703244687701235,2.249814610825467,-1.3669903466888258
20,2,12,1.2464517916339424,-0.05998900996191656,1.2320852472832053,0.8989332446313749,-0.16302920596120413,-1.0592053324452833,0.4719710394049051,-0.23158537778868218,0.7374071960452155,-0.9141315629135668,0.3757190421522032
1,1,7,0.23227132109990878,-0.061900362903067586,0.14081747052877874,0.21375428906454255,1.0016886689979525,-1.4143222949502294,-2.1419539797906437,-0.08148039093425095,0.390424440924579,-0.5344580220648827,1.682751083782974
53,2,12,-0.2278797059015419,-0.0630060944756529,-0.23598329239041094,-0.2170392898539864,-0.10916941983592553,-0.7517024370618508,0.3890862340565814,-0.23158537778868218,0.7374071960452155,-0.9141315629135668,0.3757190421522032
34,1,7,-0.23277916669152204,-0.06300794600979857,-0.2415930546384445,-0.21551606887530256,0.981491249200973,-1.355759369132887,-2.0128281777743084,-0.08148039093425095,0.390424440924579,-0.5344580220648827,1.682751083782974
13,1,27,-0.2201909154828113,-0.06296914847829284,-0.2266252360473484,-0.21255038285754388,0.40923102161988406,-0.5566352888645285,-0.9074066159182465,2.170094411882218,0.9976442623856929,0.35144690658204664,1.3922995189761356
2,1,5,-0.2377788587116606,-0.06300815387433883,-0.24839788572287871,-0.22289049474810826,0.3912777595781248,-0.8280433939308867,-1.6367929029834931,0.6690445433379052,0.5639158184848972,-0.28134232816576005,1.247073736572717
39,2,12,-0.20352087930909693,-0.06284682404569143,-0.2063360710085301,-0.2028180013077954,-0.10916941983592553,-0.7517024370618508,0.3890862340565814,-0.23158537778868218,0.7374071960452155,-0.9141315629135668,0.3757190421522032
10,4,14,-0.05772268555590876,-0.06284785566970608,-0.06078257465366024,-0.12395282863920946,0.30375560712454636,-0.38446408974893226,-1.1316318261763425,-0.33165536902496967,0.5639158184848972,-1.5469207976613735,1.1018479541692985
1,1,2,-0.2306228764111405,-0.06300073618972613,-0.2434277409445991,-0.21641770010906483,-0.3448059841340211,1.177705125418172,1.2118269860930984,-0.8320053252064071,-1.3444893346786038,0.7311204474307307,-1.2217645642854071
21,1,17,-0.2311794235049148,-0.0627647098536009,-0.24032931662918117,-0.21419014059035799,-1.2895963990816228,1.5098310691566237,1.422092650187266,-1.232285290151557,-1.517980712238922,0.09833121268292395,-1.5122161290922456
17,3,29,-0.15779565587722577,-0.06247173248278698,-0.14046485408822088,-0.11974912643901957,0.48553238529736253,0.4626226464850909,0.7869332997285343,0.4188695652471865,0.5639158184848972,1.61702537607766,-0.6408614346717305
35,3,15,-0.2397610631712407,-0.06301969420566676,-0.25043868297311755,-0.22390825510646828,0.6605766902045194,1.1802878518543807,0.007816129454294173,-0.08148039093425095,0.8241528848253746,-0.7875737159640054,0.6661706069590403
41,1,15,1.7204413225571322,-0.055786065944666896,1.2525936341989958,1.526339500644638,0.5147064361152225,0.9695975854601157,0.1980149459378148,-0.08148039093425095,0.8241528848253746,-0.7875737159640054,0.6661706069590403
27,1,9,-0.2393680512424617,-0.06301913990022606,-0.2501067023758949,-0.2236774462067218,-0.6724530163961349,-0.6600394159976393,-1.4902176682622474,-0.8320053252064071,-1.1709979571182854,0.9842361413298533,-0.9313129994785688
44,0,20,-0.23385665241572495,-0.06301673021129635,-0.243257856943886,-0.2205287798210323,0.6852624255119387,-0.008067362803322754,0.446669361982786,-0.4817603558794009,-0.6505238244373306,-0.028226634266637383,-0.4956356522683119
54,2,19,-0.2378922782615767,-0.06301494026664409,-0.24860398883794133,-0.2225451872418942,-1.125772882950566,-0.9854946368548404,0.27915480801564785,-1.0321453076789822,-1.517980712238922,0.478004753531608,-1.2217645642854071
41,2,19,-0.23855169424946096,-0.06301205325914043,-0.24946131821362658,-0.2230886932852532,-1.2895963990816228,-0.7680861127369407,0.6045867279622236,-1.0321453076789822,-1.517980712238922,0.478004753531608,-1.2217645642854071
52,4,12,-0.23000961954240812,-0.06287443153611302,-0.24074073923604883,-0.2165895386031068,-0.16302920596120413,-1.0592053324452833,0.4719710394049051,-0.23158537778868218,0.7374071960452155,-0.9141315629135668,0.3757190421522032
38,4,5,-0.23659059110149314,-0.06284287461942645,-0.24806230511487898,-0.22111114654649147,0.4586024922347236,-1.0962825095049644,-2.3705415482249674,0.6690445433379052,0.5639158184848972,-0.28134232816576005,1.247073736572717
39,0,29,-0.2355526703365633,-0.06300847721917925,-0.24510691115295477,-0.2188497990687558,0.34863876222894535,0.15919190259923877,0.7633765655769059,0.4188695652471865,0.5639158184848972,1.61702537607766,-0.6408614346717305
24,2,15,-0.15665222855423447,-0.06257284318425155,-0.1841913520244714,-0.14973349429990024,0.5663220644852817,0.8592850612338334,0.2503632440525462,-0.08148039093425095,0.8241528848253746,-0.7875737159640054,0.6661706069590403
4,2,10,-0.2254187654347578,-0.06300030891261559,-0.2385971853557647,-0.2106394156090936,-3.0198420283562086,-1.7167864970409359,-2.0852433234996854,-0.33165536902496967,-0.7372695132174897,1.237351835228976,0.08526747734536481
41,3,12,0.12731075947639356,-0.0597414317464334,0.1823817200142301,0.19208932291718778,0.01650341445639173,-1.1516606008825652,0.029627920335431934,-0.23158537778868218,0.7374071960452155,-0.9141315629135668,0.3757190421522032
24,3,28,-0.2396898462445492,-0.06301888969290909,-0.25043767694383756,-0.2238909082052511,-1.3546769739830014,-0.401798462271706,-1.0932430742255403,0.1686945871564678,-0.8240152019976489,0.7311204474307307,-0.3504098698648921
19,2,12,-0.02467275624314908,-0.06270190396769479,-0.09060599424521579,0.005064409472498391,-0.09794863105982558,-0.6949141453601855,0.43619970235983946,-0.23158537778868218,0.7374071960452155,-0.9141315629135668,0.3757190421522032
38,4,20,-0.23023909630619183,-0.06272788318588432,-0.24313102947175863,-0.2161013795918299,0.579787011016601,0.8318416122306849,0.7782085833760797,-0.4817603558794009,-0.6505238244373306,-0.028226634266637383,-0.4956356522683119
32,2,26,-0.2385411435936548,-0.06301683414356649,-0.2491921729319876,-0.22330935673885696,0.17808277283222912,2.226292058518847,1.018138283068595,-0.7319353339701197,-1.1709979571182854,0.35144690658204664,-1.0765387818819874
23,2,19,-0.23239274892262185,-0.06300296880886228,-0.24222259656940875,-0.2217285694117473,-1.3344795541860217,-0.25944745427846877,0.8514962007367028,-1.0321453076789822,-1.517980712238922,0.478004753531608,-1.2217645642854071
42,2,4,-0.23916890761412063,-0.06301904366664261,-0.2497855151151296,-0.2233892521272307,0.4182076526407645,0.49256959718714083,-0.12305461583253238,-0.33165536902496967,0.13018737458410162,-1.5469207976613735,-0.20518408746147357
31,2,18,-0.2398243671060776,-0.06301926307921289,-0.2505221120150433,-0.22398434595253855,-0.19893573004472345,2.130002312795906,1.6070566368593147,-1.1322152989152696,-1.6047264010190812,0.2248890596324853,-1.3669903466888258
10,4,12,-0.2249584930752146,-0.06301264990735786,-0.2386815392523777,-0.210724746057901,-0.13834347065378472,-0.654081715752152,0.4353272307245935,-0.23158537778868218,0.7374071960452155,-0.9141315629135668,0.3757190421522032
38,4,14,-0.15103532316943624,-0.05972142670910476,-0.17693500611940677,-0.14166727581823904,0.22745424344706788,-0.4927009258577706,-1.1839801242910735,-0.33165536902496967,0.5639158184848972,-1.5469207976613735,1.1018479541692985
38,4,24,-0.23485500822138172,-0.06274167923240843,-0.24641961567501686,-0.21938918352461934,0.8333768373564558,-0.6364145993326884,0.6037142563269776,0.1686945871564678,0.390424440924579,-0.28134232816576005,-0.05995830505805502
19,1,14,-0.22107321407460045,-0.0629910204471405,-0.22936261297752442,-0.20660999768014085,0.13993209099348947,0.46713845651159036,-0.6186185046519823,-0.33165536902496967,0.5639158184848972,-1.5469207976613735,1.1018479541692985
1,2,0,-0.23440001118974158,-0.06300668727452698,-0.24384995843312585,-0.21690069581292987,0.9321197785861343,-0.5411547751947384,0.45801149324097723,0.06862459592018029,0.9976442623856929,-1.2938051037622507,0.23049325974878335
