yield
2.86
2.61
0.447272727
1.170769231
0.535789474
1.584651163
1.938461538
0.388947368
0.247272727
0.584
3.04625
2.8475
0.773333333
1.748181818
1.797586207
0.910714286
1.6025
1.62
1.05
3.160714286
0.831428571
0.603684211
0.820555556
0.372307692
0.582727273
0.884558824
1.9
1.834285714
0.309787234
0.708695652
9.78
2.141052632
0.12
0.9865625
0.401111111
0.197777778
0.86
1.99
4.7735
18.48
0.74
1.887142857
0.591666667
2.852
1.623333333
0.514705882
9.688965517
0.7075
0.739090909
0.408333333
3.63
0.116818182
12.04827586
18.72
0.404166667
0.55
13.70555556
0.182105263
1.510769231
1.260789474
1.002307692
0.621111111
0.551555556
0.3965
2.852692308
0.78
1.53125
1.267241379
4.423478261
12.75375
0.68875
5.915384615
2.36
9.662727273
6.91
0.550769231
0.658095238
0.682580645
0.456666667
1.66
0.720833333
1.992777778
0.385
3.759
0.533125
0.4125
0.362857143
0.775
0.802173913
0.345714286
0.33
1.416666667
0.93875
0.293125
0.73
3.1434375
1.325
91.74736842
0.8
0.79
1.101111111
0.72625
0.2975
2.020666667
2.493076923
49.81526316
0.191428571
1.409090909
0.405555556
2.75
0.881666667
0.5
0.834545455
2.895555556
1.36
0.843421053
1.258148148
0.806428571
7.595
5.327272727
0.606363636
50.3125
0.1790625
0.676666667
0.360357143
0.56
1.20625
1.7575
0.414
1.409259259
0.21
13.3925
0.582631579
1.106363636
0.857142857
0.897333333
13.68962963
2.396086957
1.274736842
0.58
27.30210526
6.547142857
0.8698
1.4925
0.688333333
2.171666667
0.7975
0.64
6.3
0.974
0.786666667
0.971176471
0.699189189
0.706521739
14.6992
0.177142857
0.774285714
0.880555556
0.543695652
0.737777778
1.0575
8.276842105
1.476818182
0.75
0.56
0.5825
4.40625
0.81125
1.39
6.07
3.45952381
1.048888889
0.722571429
0.51
2.288
1.432692308
0.675384615
6045.886957
65.4878125
2.704615385
2.3115
1.0975
0.813488372
0.0
0.688928571
0.94
5.674166667
1.313793103
0.461153846
0.699090909
0.584375
21.27
